DateTime	Temperature	Illumination	Cage
2016-04-06 05:49:05	21.2	0	1
2016-04-06 05:50:05	21.2	0	1
2016-04-06 05:51:05	21.2	0	1
2016-04-06 05:52:05	21.2	0	1
2016-04-06 05:53:05	21.2	0	1
2016-04-06 05:54:05	21.2	0	1
2016-04-06 05:55:05	21.2	0	1
2016-04-06 05:56:05	21.2	0	1
2016-04-06 05:57:05	21.2	0	1
2016-04-06 05:58:05	21.2	0	1
2016-04-06 05:59:05	21.2	0	1
2016-04-06 06:00:05	21.2	0	1
2016-04-06 06:01:05	21.2	0	1
2016-04-06 06:02:05	21.2	0	1
2016-04-06 06:03:05	21.2	0	1
2016-04-06 06:04:05	21.2	0	1
2016-04-06 06:05:05	21.2	0	1
2016-04-06 06:06:05	21.2	0	1
2016-04-06 06:07:05	21.2	0	1
2016-04-06 06:08:05	21.2	0	1
2016-04-06 06:09:05	21.2	0	1
2016-04-06 06:10:05	21.2	0	1
2016-04-06 06:11:05	21.2	0	1
2016-04-06 06:12:05	21.2	0	1
2016-04-06 06:13:05	21.2	0	1
2016-04-06 06:14:05	21.2	0	1
2016-04-06 06:15:05	21.2	0	1
2016-04-06 06:16:05	21.2	0	1
2016-04-06 06:17:05	21.2	0	1
2016-04-06 06:18:05	21.2	0	1
2016-04-06 06:19:05	21.2	0	1
2016-04-06 06:20:05	21.2	0	1
2016-04-06 06:21:05	21.2	0	1
2016-04-06 06:22:05	21.2	0	1
2016-04-06 06:23:05	21.2	0	1
2016-04-06 06:24:05	21.2	0	1
2016-04-06 06:25:05	21.2	0	1
2016-04-06 06:26:05	21.2	0	1
2016-04-06 06:27:05	21.2	0	1
2016-04-06 06:28:05	21.2	0	1
2016-04-06 06:29:05	21.2	0	1
2016-04-06 06:30:05	21.2	0	1
2016-04-06 06:31:05	21.2	0	1
2016-04-06 06:32:05	21.2	0	1
2016-04-06 06:33:05	21.2	0	1
2016-04-06 06:34:05	21.2	0	1
2016-04-06 06:35:05	21.2	0	1
2016-04-06 06:36:05	21.2	0	1
2016-04-06 06:37:05	21.2	0	1
2016-04-06 06:38:05	21.2	0	1
2016-04-06 06:39:05	21.2	0	1
2016-04-06 06:40:05	21.2	0	1
2016-04-06 06:41:05	21.2	0	1
2016-04-06 06:42:05	21.2	0	1
2016-04-06 06:43:05	21.2	0	1
2016-04-06 06:44:05	21.2	0	1
2016-04-06 06:45:05	21.2	0	1
2016-04-06 06:46:05	21.2	0	1
2016-04-06 06:47:05	21.2	0	1
2016-04-06 06:48:05	21.2	0	1
2016-04-06 06:49:05	21.2	0	1
2016-04-06 06:50:05	21.2	0	1
2016-04-06 06:51:05	21.2	0	1
2016-04-06 06:52:05	21.2	0	1
2016-04-06 06:53:05	21.2	0	1
2016-04-06 06:54:05	21.2	0	1
2016-04-06 06:55:05	21.2	0	1
2016-04-06 06:56:05	21.2	0	1
2016-04-06 06:57:05	21.2	0	1
2016-04-06 06:58:05	21.2	0	1
2016-04-06 06:59:05	21.2	0	1
2016-04-06 07:00:05	21.2	0	1
2016-04-06 07:01:05	21.2	0	1
2016-04-06 07:02:05	21.2	0	1
2016-04-06 07:03:05	21.2	0	1
2016-04-06 07:04:05	21.2	3	1
2016-04-06 07:05:05	21.2	3	1
2016-04-06 07:06:05	21.2	3	1
2016-04-06 07:07:05	21.2	3	1
2016-04-06 07:08:05	21.2	3	1
2016-04-06 07:09:05	21.2	3	1
2016-04-06 07:10:05	21.2	3	1
2016-04-06 07:11:05	21.2	3	1
2016-04-06 07:12:05	21.2	3	1
2016-04-06 07:13:05	21.2	3	1
2016-04-06 07:14:05	21.2	3	1
2016-04-06 07:15:05	21.2	3	1
2016-04-06 07:16:05	21.2	3	1
2016-04-06 07:17:05	21.2	3	1
2016-04-06 07:18:05	21.2	3	1
2016-04-06 07:19:05	21.2	3	1
2016-04-06 07:20:05	21.2	3	1
2016-04-06 07:21:05	21.2	3	1
2016-04-06 07:22:05	21.2	3	1
2016-04-06 07:23:05	21.2	3	1
2016-04-06 07:24:05	21.2	3	1
2016-04-06 07:25:05	21.2	3	1
2016-04-06 07:26:05	21.2	3	1
2016-04-06 07:27:05	21.2	3	1
2016-04-06 07:28:05	21.2	3	1
